,AR ID,Date,AR-MJO Overlap?,datetime,RMM Index,RMM Amplitude
4974,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00212.1000.nc,2013-01-13T18:00:00,False,2013-01-13 18:00:00,6.0,2.4864573
4975,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00213.1000.nc,2013-01-14T09:00:00,False,2013-01-14 09:00:00,7.0,2.656729
4976,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00214.1000.nc,2013-01-16T09:00:00,False,2013-01-16 09:00:00,7.0,2.4917929
4977,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00215.1000.nc,2013-01-17T16:00:00,False,2013-01-17 16:00:00,7.0,2.2180109
4978,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00216.1000.nc,2013-01-20T07:00:00,False,2013-01-20 07:00:00,7.0,2.2151113
4979,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00216.2000.nc,2013-01-23T04:00:00,False,2013-01-23 04:00:00,7.0,2.2040448
4980,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00217.1000.nc,2013-01-20T17:00:00,False,2013-01-20 17:00:00,7.0,2.2151113
4981,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00218.1000.nc,2013-01-20T19:00:00,False,2013-01-20 19:00:00,7.0,2.2151113
4982,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00219.1000.nc,2013-01-27T19:00:00,False,2013-01-27 19:00:00,7.0,1.8444914
4983,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00220.1000.nc,2013-01-28T00:00:00,False,2013-01-28 00:00:00,7.0,1.6967751
4984,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00221.1000.nc,2013-01-29T07:00:00,False,2013-01-29 07:00:00,7.0,1.4682362
4985,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00222.1000.nc,2013-01-30T00:00:00,False,2013-01-30 00:00:00,7.0,1.6111714
4986,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00223.1000.nc,2013-01-30T09:00:00,False,2013-01-30 09:00:00,7.0,1.6111714
4987,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00224.1000.nc,2013-01-31T02:00:00,False,2013-01-31 02:00:00,8.0,2.0766399
4988,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00225.1000.nc,2013-01-31T07:00:00,False,2013-01-31 07:00:00,8.0,2.0766399
4989,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00226.1000.nc,2013-02-01T04:00:00,False,2013-02-01 04:00:00,8.0,2.2120242
4990,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00227.1000.nc,2013-02-02T19:00:00,False,2013-02-02 19:00:00,8.0,2.0847101
4991,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00227.2000.nc,2013-02-02T19:00:00,False,2013-02-02 19:00:00,8.0,2.0847101
4992,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00227.3000.nc,2013-02-09T22:00:00,False,2013-02-09 22:00:00,1.0,1.6961551
4993,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00227.4000.nc,2013-02-09T22:00:00,False,2013-02-09 22:00:00,1.0,1.6961551
4994,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00228.1000.nc,2013-02-05T07:00:00,False,2013-02-05 07:00:00,1.0,1.3598207
4995,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00229.1000.nc,2013-02-06T11:00:00,False,2013-02-06 11:00:00,1.0,0.9091934
4996,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00230.1000.nc,2013-02-06T13:00:00,False,2013-02-06 13:00:00,1.0,0.9091934
